State,Optimal Action,State Value
"(0, ('H', 'L', 'H', 'H', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'H', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'H', 'H', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'H', 'H', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'H', 'H', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'H', 'H', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'H', 'L', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'H', 'L', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'H', 'L', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'H', 'L', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'H', 'L', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'H', 'L', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'H', 'L', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'H', 'L', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'L', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'L', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'L', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'L', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'L', 'H', 'L', 'H', 'H'))",7,6.698105180028163
"(0, ('H', 'L', 'H', 'L', 'H', 'L', 'H', 'L'))",7,6.693770453428428
"(0, ('H', 'L', 'H', 'L', 'H', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'L', 'H', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'L', 'L', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'L', 'L', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'L', 'L', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'L', 'L', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'L', 'L', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'L', 'L', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'L', 'L', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'L', 'L', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'H', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'H', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'H', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'H', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'H', 'H', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'H', 'H', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'H', 'H', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'H', 'H', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'H', 'L', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'H', 'L', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'H', 'L', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'H', 'L', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'H', 'L', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'H', 'L', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'H', 'L', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'H', 'L', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'L', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'L', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'L', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'L', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'L', 'H', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'L', 'H', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'L', 'H', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'L', 'H', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'L', 'L', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'L', 'L', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'L', 'L', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'L', 'L', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'L', 'L', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'L', 'L', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'L', 'L', 'L', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'L', 'L', 'L', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'H', 'H', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'H', 'H', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'H', 'H', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'H', 'H', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'H', 'H', 'H', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'H', 'H', 'H', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'H', 'H', 'H', 'L', 'L', 'H'))",7,6.698105162662282
"(0, ('L', 'H', 'H', 'H', 'H', 'L', 'L', 'L'))",7,6.693770436062547
"(0, ('L', 'H', 'H', 'H', 'L', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'H', 'H', 'L', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'H', 'H', 'L', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'H', 'H', 'L', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'H', 'H', 'L', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'H', 'H', 'L', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'H', 'H', 'L', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'H', 'H', 'L', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'H', 'L', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'H', 'L', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'H', 'L', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'H', 'L', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'H', 'L', 'H', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'H', 'L', 'H', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'H', 'L', 'H', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'H', 'L', 'H', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'H', 'L', 'L', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'H', 'L', 'L', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'H', 'L', 'L', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'H', 'L', 'L', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'H', 'L', 'L', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'H', 'L', 'L', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'H', 'L', 'L', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'H', 'L', 'L', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'H', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'H', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'H', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'H', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'H', 'H', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'H', 'H', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'H', 'H', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'H', 'H', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'H', 'L', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'H', 'L', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'H', 'L', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'H', 'L', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'H', 'L', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'H', 'L', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'H', 'L', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'H', 'L', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'L', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'L', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'L', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'L', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'L', 'H', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'L', 'H', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'L', 'H', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'L', 'H', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'L', 'L', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'L', 'L', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'L', 'L', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'L', 'L', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'L', 'L', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'L', 'L', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'H', 'L', 'L', 'L', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'H', 'L', 'L', 'L', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'H', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'H', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'H', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'H', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'H', 'H', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'H', 'H', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'H', 'H', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'H', 'H', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'H', 'L', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'H', 'L', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'H', 'L', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'H', 'L', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'H', 'L', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'H', 'L', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'H', 'L', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'H', 'L', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'L', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'L', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'L', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'L', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'L', 'H', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'L', 'H', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'L', 'H', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'L', 'H', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'L', 'L', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'L', 'L', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'L', 'L', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'L', 'L', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'L', 'L', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'L', 'L', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'H', 'L', 'L', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'H', 'L', 'L', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'L', 'H', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'L', 'H', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'L', 'H', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'L', 'H', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'L', 'H', 'H', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'L', 'H', 'H', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'L', 'H', 'H', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'L', 'H', 'H', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'L', 'H', 'L', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'L', 'H', 'L', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'L', 'H', 'L', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'L', 'H', 'L', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'L', 'H', 'L', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'L', 'H', 'L', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'L', 'H', 'L', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'L', 'H', 'L', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'L', 'L', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'L', 'L', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('L', 'L', 'L', 'L', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('L', 'L', 'L', 'L', 'H', 'H', 'L', 'L'))",7,6.69377045343178
